Tile No,Receiver 1,Receiver 2,Receiver 3,Human Presence
8,-49,-32,-42,TRUE
8,-46,-34,-52,TRUE
8,-46,-32,-54,TRUE
8,-46,-34,-46,TRUE
8,-51,-34,-55,TRUE
8,-47,-33,-49,TRUE
8,-48,-32,-49,TRUE
8,-47,-33,-50,TRUE
8,-51,-31,-51,TRUE
8,-48,-33,-56,TRUE
8,-48,-31,-55,TRUE
8,-48,-33,-54,TRUE
8,-47,-34,-51,TRUE
8,-48,-34,-45,TRUE
8,-48,-34,-44,TRUE
8,-48,-34,-44,TRUE
8,-47,-34,-43,TRUE
8,-48,-31,-55,TRUE
8,-51,-34,-44,TRUE
8,-50,-33,-46,TRUE
8,-49,-33,-47,TRUE
8,-48,-31,-52,TRUE
8,-48,-33,-51,TRUE
8,-47,-34,-52,TRUE
9,-46,-34,-44,TRUE
9,-45,-37,-48,TRUE
9,-43,-35,-53,TRUE
9,-44,-35,-51,TRUE
9,-46,-36,-47,TRUE
9,-44,-35,-50,TRUE
9,-48,-35,-47,TRUE
9,-45,-35,-45,TRUE
9,-43,-36,-44,TRUE
9,-42,-36,-46,TRUE
9,-42,-36,-48,TRUE
9,-46,-35,-46,TRUE
9,-45,-37,-56,TRUE
9,-46,-37,-52,TRUE
9,-42,-38,-50,TRUE
9,-43,-37,-53,TRUE
9,-41,-37,-47,TRUE
9,-42,-35,-52,TRUE
9,-42,-35,-47,TRUE
9,-43,-37,-48,TRUE
9,-43,-36,-45,TRUE
9,-43,-36,-47,TRUE
9,-44,-35,-50,TRUE
9,-42,-36,-50,TRUE
9,-44,-35,-46,TRUE
9,-45,-36,-50,TRUE
9,-44,-36,-46,TRUE
9,-42,-37,-48,TRUE
9,-44,-35,-45,TRUE
9,-44,-36,-44,TRUE
9,-44,-36,-44,TRUE
9,-43,-36,-51,TRUE
9,-42,-37,-45,TRUE
9,-41,-36,-49,TRUE
9,-43,-35,-49,TRUE
9,-43,-36,-53,TRUE
9,-43,-35,-50,TRUE
9,-42,-36,-51,TRUE
9,-42,-36,-52,TRUE
9,-42,-36,-51,TRUE
9,-42,-36,-54,TRUE
9,-42,-36,-52,TRUE
9,-41,-36,-51,TRUE
9,-41,-35,-52,TRUE
9,-42,-36,-51,TRUE
9,-42,-35,-50,TRUE
9,-42,-35,-48,TRUE
10,-37,-37,-44,TRUE
10,-37,-36,-45,TRUE
10,-36,-36,-47,TRUE
10,-36,-37,-46,TRUE
10,-36,-40,-45,TRUE
10,-36,-38,-48,TRUE
10,-36,-39,-50,TRUE
10,-36,-38,-49,TRUE
10,-36,-37,-50,TRUE
10,-37,-38,-51,TRUE
10,-37,-38,-49,TRUE
10,-36,-38,-49,TRUE
10,-37,-39,-49,TRUE
10,-37,-40,-47,TRUE
10,-37,-39,-47,TRUE
10,-37,-38,-50,TRUE
10,-37,-39,-49,TRUE
10,-37,-40,-50,TRUE
10,-38,-39,-49,TRUE
10,-38,-39,-51,TRUE
10,-38,-39,-53,TRUE
10,-38,-38,-50,TRUE
10,-38,-40,-46,TRUE
10,-38,-37,-46,TRUE
